INT3400 Thermal,TSR0,TSR1,TSR2,B0DB,soc_dts0,soc_dts1,BAT0/current_now,BAT0/voltage_now,BAT0/capacity,cpu0/scaling_cur_freq,cpu1/scaling_cur_freq,
20000,24800,21800,21800,37000,29000,33000,465000,11651000,58,2582234,2582300,
20000,24800,21800,21800,36000,29000,32000,385000,11662000,58,2582300,2582300,
20000,24800,22800,21800,33000,29000,32000,482000,11663000,58,2582300,2582300,
20000,24800,21800,22800,32000,29000,32000,451000,11709000,58,2512406,2582300,
20000,24800,22800,21800,32000,29000,32000,483000,11705000,58,2581974,2498544,
20000,24800,22800,22800,32000,29000,31000,437000,11692000,58,2497763,2582300,
20000,24800,22800,22800,35000,29000,31000,386000,11704000,58,2582300,2582300,
20000,24800,22800,22800,33000,29000,31000,582000,11698000,58,2582365,2582300,
20000,24800,22800,22800,37000,29000,32000,358000,11663000,58,2582300,2582300,
20000,24800,22800,22800,39000,30000,33000,573000,11661000,58,2582300,2582234,
20000,25800,22800,22800,41000,31000,34000,645000,11629000,58,2582300,2582300,
20000,25800,22800,22800,41000,31000,34000,594000,11639000,58,2582300,2582300,
20000,25800,22800,22800,37000,30000,33000,526000,11645000,58,2582300,2582300,
20000,25800,22800,22800,37000,30000,33000,500000,11655000,58,2582300,2582300,
20000,25800,22800,22800,40000,30000,34000,523000,11622000,58,2582300,2582300,
20000,25800,22800,22800,37000,30000,34000,566000,11627000,58,2582300,2582300,
20000,25800,22800,22800,34000,30000,34000,522000,11621000,58,2579176,2580738,
20000,25800,22800,22800,33000,30000,34000,352000,11694000,58,2582300,2582300,
20000,25800,22800,22800,37000,30000,33000,348000,11674000,58,2582300,2582300,
20000,25800,22800,22800,38000,30000,34000,600000,11612000,58,2582300,2582300,
20000,25800,22800,22800,37000,30000,33000,385000,11662000,58,2582300,2582300,
20000,25800,22800,22800,39000,31000,35000,510000,11629000,58,2582234,2582234,
20000,25800,22800,22800,34000,30000,34000,505000,11649000,58,2582300,2581974,
20000,25800,22800,22800,33000,30000,34000,382000,11689000,58,2582300,2024450,
20000,25800,22800,22800,32000,29000,32000,376000,11690000,58,2582300,1997898,
20000,25800,22800,22800,32000,29000,32000,362000,11687000,58,2582300,2496006,
20000,25800,22800,22800,37000,30000,34000,564000,11629000,58,2582365,2582300,
20000,25800,22800,22800,39000,30000,33000,441000,11650000,58,2582234,2582300,
20000,25800,22800,22800,34000,29000,32000,394000,11674000,58,2582234,2582365,
20000,25800,22800,22800,33000,29000,32000,390000,11674000,58,2582300,2582300,
20000,25800,22800,22800,33000,29000,31000,395000,11667000,58,2582300,2581779,
20000,25800,22800,23800,33000,29000,31000,354000,11681000,58,2582300,2582300,
20000,25800,22800,23800,32000,29000,31000,378000,11667000,58,2582300,2579892,
20000,25800,22800,23800,33000,29000,31000,355000,11679000,58,2582300,2582169,
20000,25800,22800,23800,32000,29000,31000,346000,11683000,58,2582300,2164173,
20000,25800,22800,22800,32000,29000,31000,346000,11683000,58,2581974,2579371,
20000,25800,22800,22800,32000,29000,31000,343000,11682000,58,2582300,2329601,
20000,25800,22800,22800,32000,29000,31000,385000,11662000,58,2582300,2581714,
20000,25800,22800,23800,32000,29000,31000,343000,11681000,58,2581909,2548719,
20000,25800,22800,23800,33000,29000,31000,384000,11682000,58,2582300,2582300,
20000,25800,22800,23800,32000,29000,33000,561000,11669000,58,2582300,2582300,
20000,25800,22800,23800,34000,29000,32000,414000,11661000,58,2582300,2582300,
20000,25800,22800,23800,32000,29000,31000,349000,11672000,58,2582300,2415049,
20000,25800,22800,23800,37000,29000,32000,340000,11662000,58,2582300,2582234,
20000,25800,22800,23800,35000,30000,32000,479000,11658000,58,2582300,2582300,
20000,25800,22800,23800,34000,29000,33000,457000,11654000,58,2582300,2582300,
20000,25800,22800,23800,34000,29000,32000,390000,11649000,58,2582104,2557830,
20000,25800,22800,23800,33000,29000,32000,439000,11636000,58,2582300,2493403,
20000,25800,22800,23800,32000,29000,31000,348000,11672000,58,2164238,2580087,
20000,25800,22800,23800,32000,29000,31000,361000,11666000,58,2582300,2519564,
20000,25800,22800,23800,33000,29000,31000,352000,11674000,58,2582300,2582300,
20000,25800,22800,23800,33000,29000,31000,355000,11672000,58,2582300,2582300,
20000,25800,22800,23800,33000,29000,31000,392000,11657000,58,2582300,2582300,
20000,25800,23800,23800,33000,29000,31000,394000,11659000,58,2582300,2582300,
20000,25800,23800,23800,33000,29000,32000,401000,11659000,58,2582300,2394419,
20000,25800,22800,23800,32000,29000,32000,347000,11667000,58,2582300,2581714,
20000,25800,22800,23800,32000,29000,32000,353000,11665000,58,2576768,2080807,
20000,25800,22800,23800,32000,29000,32000,352000,11672000,58,2581779,2079115,
20000,25800,22800,23800,33000,29000,32000,438000,11627000,58,2582300,2581844,
20000,25800,23800,23800,32000,29000,32000,343000,11672000,58,2582169,2582300,
20000,25800,23800,23800,32000,29000,32000,344000,11670000,58,2582300,2014102,
20000,25800,23800,23800,32000,29000,32000,340000,11669000,58,2582300,2453965,
20000,25800,23800,23800,32000,29000,32000,342000,11671000,58,2582300,2074625,
20000,25800,23800,23800,33000,29000,32000,340000,11672000,58,2248644,2579371,
20000,25800,22800,23800,32000,29000,32000,342000,11673000,58,2582300,2496331,
20000,25800,23800,23800,32000,29000,32000,344000,11673000,58,2582300,1994904,
20000,25800,22800,23800,32000,29000,31000,356000,11671000,58,2582300,2203415,
20000,25800,23800,23800,32000,29000,31000,365000,11672000,58,2582104,2581714,
20000,25800,22800,23800,32000,29000,31000,335000,11670000,58,2582300,2582300,
20000,25800,22800,23800,32000,29000,31000,332000,11672000,58,2582300,1971867,
20000,25800,23800,23800,32000,29000,31000,332000,11666000,58,2582300,2413942,
20000,25800,23800,23800,31000,29000,31000,331000,11673000,58,2582300,2080807,
20000,25800,23800,23800,31000,29000,31000,332000,11668000,58,2581844,2581388,
20000,25800,23800,23800,32000,29000,31000,343000,11664000,58,2581974,2451883,
20000,25800,23800,23800,32000,29000,31000,330000,11668000,58,2498479,2505442,
20000,25800,23800,23800,31000,29000,31000,346000,11663000,58,2582300,2062781,
20000,25800,23800,23800,32000,29000,31000,361000,11660000,58,2582300,1985078,
20000,25800,23800,23800,32000,29000,31000,331000,11668000,58,2582300,2436525,
20000,25800,23800,23800,31000,29000,31000,332000,11669000,58,2582300,1906593,
20000,25800,23800,23800,32000,29000,31000,334000,11667000,58,2582300,2081198,
20000,25800,23800,23800,32000,29000,31000,332000,11668000,58,2582039,1995230,
20000,25800,23800,23800,32000,29000,31000,332000,11668000,58,2582039,1997703,
20000,25800,23800,23800,32000,29000,31000,331000,11669000,58,2581909,1990414,
20000,25800,23800,23800,32000,29000,31000,332000,11667000,58,2582300,2581649,
20000,25800,23800,23800,32000,29000,31000,334000,11664000,58,2582300,2581193,
20000,25800,23800,23800,32000,29000,31000,341000,11666000,58,2582300,2430993,
20000,25800,23800,23800,32000,29000,31000,344000,11662000,58,2582300,1885703,
20000,25800,23800,23800,31000,29000,31000,338000,11665000,58,2581649,2413812,
20000,25800,23800,23800,31000,29000,31000,332000,11666000,58,2582300,2070265,
20000,25800,23800,23800,32000,29000,31000,331000,11664000,58,2582300,2581323,
20000,25800,23800,23800,32000,29000,31000,334000,11666000,58,2582300,2060633,
20000,25800,23800,23800,32000,29000,31000,332000,11664000,58,2498153,2415244,
