cpu_thermal,sbs-1-000b,sbs-1-000b/current_now,CROS_USB_PD_CHARGER0/voltage_now,sbs-1-000b/voltage_now,sbs-1-000b/capacity,cpu0/scaling_cur_freq,cpu1/scaling_cur_freq,cpu2/scaling_cur_freq,cpu3/scaling_cur_freq,
41205,25900,-355000,0,11793000,65,1703000,1703000,2106000,2106000,
40619,25900,-361000,0,11834000,65,1703000,1703000,2106000,2106000,
40853,25900,-422000,0,11836000,65,1703000,1703000,2106000,2106000,
48592,25800,-665000,0,11787000,65,1703000,1703000,2106000,2106000,
49882,25800,-501000,0,11822000,65,1703000,1703000,2106000,2106000,
45309,25800,-517000,0,11815000,65,1703000,1703000,2106000,2106000,
41674,25800,-423000,0,11853000,65,1703000,1703000,2106000,2106000,
40971,25800,-363000,0,11839000,65,1209000,1209000,702000,702000,
41205,25800,-388000,0,11854000,65,1703000,1703000,2106000,2106000,
40267,25800,-462000,0,11854000,65,1508000,1508000,507000,507000,
43785,25800,-543000,0,11813000,65,1703000,1703000,2106000,2106000,
44723,25800,-654000,0,11815000,65,1703000,1703000,2106000,2106000,
44254,25800,-576000,0,11803000,65,1703000,1703000,2106000,2106000,
44371,25800,-482000,0,11829000,65,1703000,1703000,2106000,2106000,
39095,25800,-384000,0,11858000,65,507000,507000,2106000,2106000,
37219,25800,-323000,0,11867000,65,507000,507000,507000,507000,
36398,25800,-327000,0,11865000,65,1703000,1703000,2106000,2106000,
36046,25800,-283000,0,11875000,65,507000,507000,702000,702000,
37101,25800,-359000,0,11857000,65,1001000,1001000,2106000,2106000,
36163,25800,-305000,0,11869000,65,1703000,1703000,2106000,2106000,
36398,25800,-339000,0,11865000,65,1703000,1703000,2106000,2106000,
35577,25800,-309000,0,11855000,65,1703000,1703000,507000,507000,
36398,25800,-347000,0,11865000,65,507000,507000,507000,507000,
35577,25800,-283000,0,11875000,65,1703000,1703000,2106000,2106000,
36515,25800,-370000,0,11864000,65,1703000,1703000,2106000,2106000,
47185,25800,-584000,0,11805000,65,1703000,1703000,2106000,2106000,
39212,25800,-337000,0,11853000,63,1703000,1703000,2106000,2106000,
39915,25800,-349000,0,11845000,65,1703000,1703000,2106000,2106000,
